S.No.,Player_name,Team,Matches,Innings,Not_out,Total_runs_scored,Highest_score,Batting_avg,Total_balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes,Nineties,Best_Bowling,Wkts_taken,5_wkts,4_wkts,Catch_taken,Stamp_by_wk,Balls_bowled,Bowling_avg,Economy,Runs_given,Category
1,Sai Sudharsan,GT,15,15,1,759,108,54.21,486,156.17,1,6,0,88,21,0,0,0,0,0,7,0,0,NA,NA,0,Batsman
2,Suryakumar Yadav,MI,16,16,5,717,73,65.18,427,167.91,0,5,0,69,38,0,0,0,0,0,6,0,0,NA,NA,0,Batsman
3,Virat Kohli,RCB,15,15,3,657,73,54.75,454,144.71,0,8,0,66,19,0,0,0,0,0,3,0,0,NA,NA,0,Batsman
4,Shubman Gill,GT,15,15,2,650,93,50,417,155.87,0,6,0,62,24,2,0,0,0,0,8,0,0,NA,NA,0,Batsman
5,Mitchell Marsh,LSG,13,13,0,627,117,48.23,383,163.71,1,6,2,56,37,0,0,0,0,0,1,0,0,NA,NA,0,Batsman
6,Shreyas Iyer,PBKS,17,17,5,604,97,50.33,345,175.07,0,6,1,43,39,1,0,0,0,0,7,0,0,NA,NA,0,Batsman
7,Yashasvi Jaiswal,RR,14,14,1,559,75,43,350,159.71,0,6,0,60,28,0,0,0,0,0,10,0,0,NA,NA,0,Batsman
8,Prabhsimran Singh,PBKS,17,17,0,549,91,32.29,342,160.52,0,4,1,56,30,1,0,0,0,0,2,1,0,NA,NA,0,WK Batsman
9,KL Rahul,DC,13,13,3,539,112,53.9,360,149.72,1,3,0,52,21,1,0,0,0,0,3,0,0,NA,NA,0,WK Batsman
10,Jos Buttler,GT,14,13,4,538,97,59.77,330,163.03,0,5,1,52,24,1,0,0,0,0,8,2,0,NA,NA,0,WK Batsman
11,Nicholas Pooran,LSG,14,14,2,524,87,43.66,267,196.25,0,5,0,45,40,0,0,0,0,0,8,0,0,NA,NA,0,WK Batsman
12,Heinrich Klaasen,SRH,14,13,2,487,105,44.27,282,172.69,1,1,0,42,25,0,0,0,0,0,7,0,0,NA,NA,0,WK Batsman
13,Priyansh Arya,PBKS,17,17,0,475,103,27.94,265,179.24,1,2,1,55,25,0,0,0,0,0,8,0,0,NA,NA,0,Batsman
14,Aiden Markram,LSG,13,13,0,445,66,34.23,299,148.82,0,5,0,38,22,0,2 for 30,4,0,0,7,0,66,25.5,9.27,102,AR
15,Abhishek Sharma,SRH,14,13,0,439,141,33.76,227,193.39,1,2,1,46,28,0,0 for 5,0,0,0,8,0,66,,10.18,112,AR
16,Rishabh Pant,LSG,14,13,2,269,118,24.45,202,133.17,1,1,NA,23,16,0,0,0,0,0,5,1,0,NA,NA,0,WK Batsman
17,Ishan Kishan,SRH,14,13,3,354,106,35.4,232,152.59,1,1,NA,33,15,1,0 for 4,0,0,0,8,0,1,NA,24,4,Batsman
18,Vaibhav Suryavanshi,RR,7,7,0,252,101,36,122,206.56,1,1,NA,18,24,0,0,0,0,0,0,0,0,NA,NA,0,Batsman
19,Quinton de Kock,KKR,8,8,1,152,97,21.71,117,129.91,0,1,NA,9,11,1,0,0,0,0,3,0,0,NA,NA,0,WK Batsman
20,Riyan Parag,RR,14,14,2,393,95,32.75,236,166.53,0,1,NA,27,27,1,1 for 12,3,0,0,8,0,120,56.67,8.5,170,AR
21,Ayush Mhatre,CSK,7,7,0,240,94,34.29,127,188.98,0,1,NA,31,11,1,0,0,0,0,4,0,0,NA,NA,0,Batsman
22,Rohit Sharma,MI,15,15,1,418,81,29.86,280,149.29,0,4,NA,41,22,0,0,0,0,0,1,0,0,NA,NA,0,Batsman
23,Phil Salt,RCB,13,13,1,403,65,33.58,229,175.98,0,4,NA,48,22,0,0,0,0,0,9,0,0,NA,NA,0,Batsman
